zero 0 ۰ صِفْر ṣifr
one 1 ۱ واحِد wāḥid
two 2 ۲ إثْنان ithnān
three 3 ۳ ثَلاثة thalāthah
four 4 ٤/۴ أربَعة arbaʿah
five 5 ۵ خَمْسة  khamsah
six 6 ٦/۶ سِتّة sittah
seven 7 ۷ سَبعة sabʿah
eight 8 ۸ ثَمانية thamāniyah
nine 9 ۹ تِسعة tisʿah
ten 10 ۱۰ عَشْرة ʿashrah
