##@ MA 2 Unit %g

فَنّ (فُنون) : art : 4* # ma-2-unit-4.tab:36
# فنّ/فنون : art : 4* # ma-2-unit-4-memrise.tab:13
# فَنّ (فُنون) : Art(s) : 4 # ma-2-unit-4-nouns.tab:36

طَائِر (طُيور) : bird : 4 # ma-2-unit-4.tab:37
# طَائِر (طُيور) : Bird(s) : 4 # ma-2-unit-4-nouns.tab:37

مَبلَغ (مَبالِغ) : sum of money : 4 # ma-2-unit-4.tab:38
# مَبلَغ (مَبالِغ) : Sum(s) of money : 4 # ma-2-unit-4-nouns.tab:38

إتِّفاق (إتَّفاقات) : agreement : 4 # ma-2-unit-4.tab:39
# إتِّفاق (إتَّفاقات) : Agreement(s) : 4 # ma-2-unit-4-nouns.tab:39

عُنف : violence : 4 # ma-2-unit-4.tab:40
# عُنف : Violence : 4 # ma-2-unit-4-nouns.tab:40

مُفيد : beneficial/useful : 4* # ma-2-unit-4.tab:41
# مفيد : beneficial : 4* # ma-2-unit-4-memrise.tab:22

فَرديّ : individual : 4 # ma-2-unit-4.tab:42

جَماعيّ : team/collective : 4 # ma-2-unit-4.tab:43

مُثير : exciting/moving : 4* # ma-2-unit-4.tab:44
# مثير : exciting : 4* # ma-2-unit-4-memrise.tab:18

مُمِلّ : boring : 4* # ma-2-unit-4.tab:45
# مملّ : boring : 4* # ma-2-unit-4-memrise.tab:26

مُمتِع : enjoyable : 4* # ma-2-unit-4.tab:46
# ممتع : enjoyable : 4* # ma-2-unit-4-memrise.tab:25

مُسَلٍّ : entertaining : 4 # ma-2-unit-4.tab:47

مُفَضَّل : favourite : 4* # ma-2-unit-4.tab:48
# مفضّل : favourite : 4* # ma-2-unit-4-memrise.tab:21

مَشغول : busy/occupied : 4* # ma-2-unit-4.tab:49
# مشغول : busy : 4* # ma-2-unit-4-memrise.tab:19

آسِف : sorry : 4 # ma-2-unit-4.tab:50

مُمتاز : excellent : 4* # ma-2-unit-4.tab:51
# ممتاز : excellent : 4* # ma-2-unit-4-memrise.tab:24

أحَبَّ, يُحِبّ : to like : 4* # ma-2-unit-4.tab:52
# أحبّ/يحبّ : to like : 4* # ma-2-unit-4-memrise.tab:1

فَضَّلَ، يُفَضِّل : to prefer : 4* # ma-2-unit-4.tab:53
# فضّل/يفضّل : to prefer : 4* # ma-2-unit-4-memrise.tab:12

كَرِهَ، يَكرَه : to hate : 4* # ma-2-unit-4.tab:54
# كره/يكره : to hate : 4* # ma-2-unit-4-memrise.tab:16

شاهَدَ، يُشاهِد : to watch/view : 4* # ma-2-unit-4.tab:55
#شاهد/يشاهد : to view : 4* # ma-2-unit-4-memrise.tab:9

دَرَّبَ، يُدَرِّب : to train/coach : 4* # ma-2-unit-4.tab:56
#درّب/يدرّب : to coach : 4* # ma-2-unit-4-memrise.tab:5

صَوَّرَ، يُصَوِّر : to photograph : 4* # ma-2-unit-4.tab:57
# صوّر/يصوّر : to photograph : 4* # ma-2-unit-4-memrise.tab:10

خَيَّمَ، يُخَيِّم : to camp : 4 # ma-2-unit-4.tab:58

رَكِبَ، يَركَب : to ride : 4* # ma-2-unit-4.tab:59
# ركب/يركب : to ride : 4* # ma-2-unit-4-memrise.tab:6

أرسَلَ، يُرسِل : to send : 4 # ma-2-unit-4.tab:60

اِلتَقَى، يَلتَقي : to meet : 4 # ma-2-unit-4.tab:61

اِستَطاعَ، يَستَطيع : to be able to (can) : 4 # ma-2-unit-4.tab:62

ناسَبَ، يُناسِب : to suit : 4 # ma-2-unit-4.tab:63

دَعَمَ، يَدعَم : to support : 4 # ma-2-unit-4.tab:64

وَقَّعَ، يُوقِّع : to sign : 4 # ma-2-unit-4.tab:65

لا أهتَمّ ب..... : I'm not interested in : 4 # ma-2-unit-4.tab:66

بِسَبَب : due to : 4 # ma-2-unit-4.tab:67

لا فائِدة منه/منها : no point to it : 4 # ma-2-unit-4.tab:68

فِكرة جَيِّدة : good idea : 4 # ma-2-unit-4.tab:69

سَيُشَرِّفني : I'd love to ("I'd be honoured") : 4 # ma-2-unit-4.tab:70

كَما أنّ : and also / just as : 4 # ma-2-unit-4.tab:71

ما يُعادِل : equivalent to : 4 # ma-2-unit-4.tab:72


