مَنزِل (مَنازِل) : home : 2* : Split vocab entry for "house/home"
دار (دِيار/دور) : house : 2* : Split vocab entry for "house/home"

#منزل/منازل : home : 2* # ma-2-unit-2-memrise.tab:27

#دار/ديار : house : 2* # ma-2-unit-2-memrise.tab:9
#دار (دِيار/دور)، مَنزِل (مَنازِل) : house/home : 2 # ma-2-unit-2.tab:2
#دار (دِيار/دور)، مَنزِل (مَنازِل) : House(s)/home(s) : 2 # ma-2-unit-2-nouns.tab:2

كَنَبة (كنبات)، أريكة (أَرائِك) : Sofa(s) : 2 # ma-2-unit-2.tab:27
# كَنَبة (كنبات)، أريكة (أَرائِك) : Sofa(s) : 2 # ma-2-unit-2-nouns.tab:27

ثَلاجة (ثَلاجات) : fridge : 2* # ma-2-unit-2.tab:28
# ثلّاجة/ثلّاجات : fridge : 2* # ma-2-unit-2-memrise.tab:4
# ثَلاجة (ثَلاجات) : Fridge(s) : 2 # ma-2-unit-2-nouns.tab:28

فُرن (أفران) : cooker, oven : 2* # ma-2-unit-2.tab:29
# فرن/أفران : cooker/oven : 2* # ma-2-unit-2-memrise.tab:20
# فُرن (أفران) : Cooker(s) : 2 # ma-2-unit-2-nouns.tab:29

سَتائِر : curtains : 2 # ma-2-unit-2.tab:30
# سَتائِر : Curtains : 2 # ma-2-unit-2-nouns.tab:30

دُش : shower : 2 # ma-2-unit-2.tab:31
# دُش : Shower : 2 # ma-2-unit-2-nouns.tab:31

سَجاد : carpets : 2 # ma-2-unit-2.tab:32
# سَجاد : Carpets : 2 # ma-2-unit-2-nouns.tab:32

عُشب : grass/plants : 2 # ma-2-unit-2.tab:33
# عُشب : Grass/plants : 2 # ma-2-unit-2-nouns.tab:33

وَرد : flowers : 2 # ma-2-unit-2.tab:34
# ورد : Flowers : 2 # ma-2-unit-2-nouns.tab:34

مُدخِّن (ون/ين) : smoker : 2 # ma-2-unit-2.tab:35
#مُدخِّن (مُدخِّنون/ين) : Smoker(s) : 2 # ma-2-unit-2-nouns.tab:35

مَلعَب تَنِس : tennis court : 2 # ma-2-unit-2.tab:37
#مَلعَب تَنِس : Tennis court : 2 # ma-2-unit-2-nouns.tab:37

تَكييف هَواء : air-conditioning : 2 # ma-2-unit-2.tab:38
#تَكييف هَواء : Air-conditioning : 2 # ma-2-unit-2-nouns.tab:38

سَاكِن (سُكَّان) : resident : 2 # ma-2-unit-2.tab:39
#ساكن/سكّان : resident : 2* # ma-2-unit-2-memrise.tab:10
#سَاكِن (سُكَّان) : Resident(s) : 2 # ma-2-unit-2-nouns.tab:39

رُخام : marble : 2 # ma-2-unit-2.tab:40
#رُخام : Marble : 2 # ma-2-unit-2-nouns.tab:40

شاطِئ (شَواطِئ) : beach : 2 # ma-2-unit-2.tab:41
#شاطِئ (شَواطِئ) : Beach : 2 # ma-2-unit-2-nouns.tab:41

ريف : countryside : 2 # ma-2-unit-2.tab:42
#ريف : Countryside : 2 # ma-2-unit-2-nouns.tab:42

مَنظَر (مَناظِر) : view : 2 # ma-2-unit-2.tab:43
#مَنظَر (مَناظِر) : View(s) : 2 # ma-2-unit-2-nouns.tab:43

حَقل (حُقول) : field : 2 # ma-2-unit-2.tab:44
#حَقل (حُقول) : Field(s) : 2 # ma-2-unit-2-nouns.tab:44

باحة (باحات) : courtyard : 2 # ma-2-unit-2.tab:45
#باحة (باحات) : Courtyard(s) : 2 # ma-2-unit-2-nouns.tab:45

نافورة (نافورات) : fountain : 2 # ma-2-unit-2.tab:46
#نافورة (نافورات) : Fountain(s) : 2 # ma-2-unit-2-nouns.tab:46

خَزن : storage : 2 # ma-2-unit-2.tab:47
#خَزن : Storage : 2 # ma-2-unit-2-nouns.tab:47

هاتِف (هَواتِف) : phone : 2 # ma-2-unit-2.tab:48
#هاتِف (هَواتِف) : Phone(s) : 2 # ma-2-unit-2-nouns.tab:48
هاتِف محمول : mobile phone : 2 # ma-2-unit-2.tab:49
#هاتِف محمول : Mobile phone(s) : 2 # ma-2-unit-2-nouns.tab:49

حَديث : modern : 2* # ma-2-unit-2.tab:50
# حَديث : Modern : 2 # ma-2-unit-2-adj-other.tab:2
# حديث : modern : 2* # ma-2-unit-2-memrise.tab:5

تَقليديّ : traditional : 2* # ma-2-unit-2.tab:51
# تَقليديّ : Traditional : 2 # ma-2-unit-2-adj-other.tab:3
# تقليديّ : traditional : 2* # ma-2-unit-2-memrise.tab:2

هادِئ : quiet : 2* # ma-2-unit-2.tab:52
# هادِئ : Quiet : 2 # ma-2-unit-2-adj-other.tab:4
# هادئ : quiet : 2* # ma-2-unit-2-memrise.tab:28

مُزدَحِم : crowded : 2* # ma-2-unit-2.tab:53
# مُزدَحِم : Crowded : 2 # ma-2-unit-2-adj-other.tab:5
# مزدحم : crowded : 2* # ma-2-unit-2-memrise.tab:23

واسِع : spacious : 2* # ma-2-unit-2.tab:54
# واسِع : Spacious : 2 # ma-2-unit-2-adj-other.tab:6
# واسع : spacious : 2* # ma-2-unit-2-memrise.tab:29

فاخِر : luxurious : 2 # ma-2-unit-2.tab:55
# فاخِر : Luxurious : 2 # ma-2-unit-2-adj-other.tab:7

بَسيط : simple/basic : 2 # ma-2-unit-2.tab:56
# بَسيط : Simple/basic : 2 # ma-2-unit-2-adj-other.tab:8

مُريح : comfortable : 2* # ma-2-unit-2.tab:57
# مُريح : Comfortable : 2 # ma-2-unit-2-adj-other.tab:9
# مريح : comfortable : 2* # ma-2-unit-2-memrise.tab:22

مُناسِب : suitable : 2* # ma-2-unit-2.tab:58
# مُناسِب : Suitable : 2 # ma-2-unit-2-adj-other.tab:10
# مناسب : suitable : 2* # ma-2-unit-2-memrise.tab:26

