أدار/يدير
to operate
أوقف/يوقف
to prevent
إعادة تدوير
recycling
استخرج/يستخرج
to extract
اقتصد/يقتصد في
to conserve
الخريف
autumn
الربيع
spring
الشتاء
winter
الصيف
summer
النشرة الجوّيّة
weather forecast
بيئة/بيئات
environment
تراوح/يتراوح
to vary
تغيير المناخ
climate change
تلوّث
pollution
ثلج/ثلوج
snow
جافّ
dry
جوّ/أجواء
atmosphere, weather
ريح/رياح
wind
سحابة/سحب
cloud
صديق للبيئة
environmentally friendly
صناعيّ
manmade
عاصفة/عواصف
storm
عبّأ/يعبّئ
to package
عضويّ
organic
مثلج
snowy
مشروع/مشروعات
project
مشمس
sunny
مطر/أمطار
rain
ممطر
rainy
مناخ/مناخات
climate
