أصلاً : originally : 1*
أقام/يقيم : to live/to reside (in a general area) : 1*
انتقل/ينتقل : to move/to relocate : 1*
بدأ/يبدأ : to begin : 1*
جدّ/أجداد : grandfather : 1*
جدّة/جدّات : grandmother : 1*
حفيد/أحفاد : grandson : 1*
حفيدة/حفيدات : granddaughter : 1*
حكيم : wise : 1*
خال/أخوال : maternal uncle : 1*
خالة/خالات : maternal aunt : 1*
ذكيّ : intelligent : 1*
رشيق : graceful : 1*
سكن/يسكن : to live/to reside (in a specific place) : 1*
شخص/أشخاص : person : 1*
شقّة/شقق : apartment : 1*
شهير : famous : 1*
عائلة/عائلات : family : 1*
عمّ/أعمام : paternal uncle : 1*
عنوان/عناوين : address : 1*
عنيد : stubborn : 1*
قرية/قرى : village : 1*
كريم : generous : 1*
كسول : lazy : 1*
مات/يموت : to die : 1*
محبوب : popular : 1*
موهوب : talented : 1*
نشيط : active : 1*
والدان : parents : 1*
وُلِدَ : was born : 1*
