أغاني الشباب
pop songs
أغنية/أغانٍ
song
الخيال العلميّ
science fiction
بطل/أبطال
hero
تأثير/تأثيرات
effect
تاريخيّ
historical
تسجيليّ
documentary
حدث/أحداث
event
حرب/حروب
war
دار/يدور حول
to concern, to be about
راقص/راقصون
dancer
رعب
horror
رقص
dance
رواية/روايات
novel
شاعر/شعراء
poet
شعر/أشعار
poetry
غراميّ
romantic
قرن/قرون
century
مؤثّر
moving
مؤلّف/مؤلّفون
writer, composer
مجموعة/مجموعات
group
مجهول
unknown
مخرج/مخرجون
director
مسرحيّة/مسرحيّات
play
من بطولة
starring
من تأليف
written by
موسيقيّ/موسيقيّون
musician
نقد
criticism, review
هزليّ
comic
واجه/يواجه
to confront
